"Umur","Jenis Kelamin","Pendidikan Terakhir","Pekerjaan","Jenis Yogurt Bark Fruity sering anda dibeli","Berapa tingkat Kepuasan Anda terhadap produk Yogurt Bark Fruity","Yogurt Bark Fruity rasa apa yang anda sukai?"
"18","1","4","1","1","4","1"
"22","2","5","2","1","4","1"
"13","1","3","1","1","4","1"
"44","1","3","1","1","4","1"
"20","1","3","1","1","4","1"
"26","2","4","2","1","4","1"
"25","2","3","1","1","5","1"
"27","1","4","5","1","5","1"
"21","1","3","1","1","4","1"
"28","1","3","1","2","5","2"
"14","1","3","1","1","3","1"
"40","1","3","1","1","5","1"
"11","1","3","1","1","5","1"
"15","2","3","1","1","3","1"
"29","1","3","1","1","5","1"
"33","2","3","1","2","5","2"
"31","1","3","1","2","4","2"
"30","1","4","1","1","4","1"
"38","2","4","1","1","5","1"
"57","2","3","1","2","4","2"
"52","1","3","1","1","5","1"
"19","1","4","1","1","4","1"
"39","1","3","1","1","4","1"
"37","1","4","1","1","4","1"
"61","1","3","1","1","3","1"
"66","2","3","1","1","4","1"
"33","2","3","1","1","4","1"
"43","1","4","1","1","3","1"
"48","2","4","1","1","5","1"
"69","1","3","1","1","4","1"
"14","1","4","1","1","4","1"
"47","1","3","5","1","5","1"
"32","1","3","1","1","4","1"
"76","1","3","1","2","5","2"
"65","1","3","1","1","4","1"
"55","1","3","1","1","5","1"
"58","1","3","1","1","4","1"
"53","1","4","1","1","4","1"
"35","1","3","1","2","4","2"
"36","2","3","1","1","4","1"
"42","1","3","1","1","3","1"
"29","1","3","1","2","4","2"
"12","1","4","1","1","4","1"
"45","2","3","1","2","4","2"
"89","2","3","1","1","4","1"
"49","2","3","2","2","5","2"
"10","1","4","1","2","4","2"
"60","1","3","1","1","5","1"
"23","1","4","1","1","4","1"
"24","1","3","1","2","4","1"
"78","1","3","1","1","5","1"
"34","1","3","1","2","3","1"
"87","2","4","1","1","4","1"
"70","2","3","1","1","5","1"
"72","1","6","3","2","4","1"
"71","1","4","5","1","3","1"
"54","2","3","1","1","5","1"
"41","2","4","2","1","5","1"
"46","1","3","1","2","5","2"
"24","2","4","1","1","5","1"
"41","1","4","1","1","5","1"
"20","1","3","1","1","3","1"
"43","1","3","1","1","3","1"
"57","1","4","5","1","4","1"
"75","2","4","5","1","3","1"
"18","1","4","4","1","5","1"
"71","2","3","5","1","3","1"
"73","2","4","2","1","5","1"
"74","2","4","2","1","5","1"
"22","2","3","3","1","4","1"
"23","2","4","5","1","4","1"
"76","1","6","3","2","5","2"
"77","1","3","1","1","5","1"
"21","1","4","1","1","3","1"
"78","1","3","1","1","1","1"
"81","1","4","1","1","5","1"
"19","1","3","1","1","5","1"
"19","2","3","1","1","4","1"
"18","2","4","1","1","5","1"
"22","2","3","2","2","3","1"
"24","1","4","1","2","4","2"
"25","1","3","1","2","4","2"
"21","1","3","1","1","4","1"
"21","1","3","5","2","3","2"
"25","2","3","1","2","5","2"
"23","1","3","1","1","4","1"
"21","1","3","1","1","4","1"
"20","1","3","1","1","4","1"
"25","1","4","1","1","5","1"
"19","1","4","1","1","4","1"
"18","2","3","1","1","4","1"
