"","","","","","","","","","",""
"Umur","Jenis Kelamin","Pendidikan Terakhir","Pekerjaan","Berapa jumlah uang yang anda habiskan dalam sehari untuk membeli cemilan","Seberapa sering anda membeli yogurt bark fruity ini","Jenis Yogurt Bark Fruity sering anda dibeli","Berapa tingkat Kepuasan Anda terhadap produk Yogurt Bark Fruity","Yogurt Bark Fruity rasa apa yang anda sukai?","Apakah untuk  harga Rp 8.000 - Rp 9.000 ramah untuk kantong pelajar?","Media sosial apa yang paling sering anda gunakan?"
"18","1","4","1","2","3","1","4","1","1","5"
"22","2","5","2","2","1","1","4","1","1","2"
"22","1","3","1","2","1","1","4","1","1","2"
"22","1","3","1","2","3","1","4","1","1","3"
"22","1","3","1","2","2","1","4","1","1","3"
"24","2","4","2","3","1","1","4","1","1","6"
"25","2","3","1","2","1","1","5","1","1","2"
"25","1","4","5","2","1","1","5","1","1","3"
"23","1","3","1","2","1","1","4","1","1","3"
"20","1","3","1","2","1","2","5","2","1","3"
"18","1","3","1","1","1","1","3","1","2","4"
"21","1","3","1","2","2","1","5","1","1","3"
"19","1","3","1","2","1","1","5","1","1","1"
"19","2","3","1","2","1","1","3","1","2","1"
"21","1","3","1","1","1","1","5","1","1","1"
"22","2","3","1","3","1","2","5","2","1","4"
"23","1","3","1","2","1","2","4","2","1","2"
"24","1","4","1","3","2","1","4","1","1","1"
"25","2","4","1","2","1","1","5","1","2","1"
"24","2","3","1","2","1","2","4","2","1","3"
"25","1","3","1","2","2","1","5","1","1","1"
"22","1","4","1","2","1","1","4","1","1","3"
"23","1","3","1","2","1","1","4","1","1","4"
"18","1","4","1","3","1","1","4","1","1","3"
"19","1","3","1","2","1","1","3","1","1","1"
"18","2","3","1","2","2","1","4","1","1","1"
"19","2","3","1","2","1","1","4","1","1","1"
"18","1","4","1","2","1","1","3","1","1","3"
"22","2","4","1","3","1","1","5","1","1","3"
"25","1","3","1","2","1","1","4","1","1","1"
"24","1","4","1","3","3","1","4","1","1","4"
"23","1","3","5","2","1","1","5","1","1","1"
"22","1","3","1","2","3","1","4","1","1","3"
"23","1","3","1","2","3","2","5","2","1","4"
"25","1","3","1","2","2","1","4","1","1","4"
"18","1","3","1","2","2","1","5","1","1","1"
"19","1","3","1","2","2","1","4","1","1","1"
"22","1","4","1","3","2","1","4","1","1","3"
"21","1","3","1","2","1","2","4","2","1","4"
"20","2","3","1","3","1","1","4","1","1","1"
"22","1","3","1","2","1","1","3","1","1","1"
"24","1","3","1","2","1","2","4","2","1","4"
"25","1","4","1","3","2","1","4","1","1","4"
"20","2","3","1","2","1","2","4","2","1","3"
"21","2","3","1","2","1","1","4","1","1","1"
"22","2","3","2","3","3","2","5","2","1","3"
"19","1","4","1","3","1","2","4","2","1","4"
"22","1","3","1","3","3","1","5","1","1","3"
"24","1","4","1","2","2","1","4","1","1","4"
"24","1","3","1","3","1","2","4","1","1","2"
"22","1","3","1","2","3","1","5","1","1","5"
"20","1","3","1","2","1","2","3","1","1","1"
"19","2","4","1","2","2","1","4","1","1","1"
"20","2","3","1","2","1","1","5","1","1","3"
"21","1","6","3","3","2","2","4","1","1","3"
"22","1","4","5","2","1","1","3","1","1","2"
"23","2","3","1","2","1","1","5","1","2","5"
"24","2","4","2","2","1","1","5","1","1","1"
"22","1","3","1","2","3","2","5","2","1","4"
"24","2","4","1","3","1","1","5","1","1","4"
"24","1","4","1","3","2","1","5","1","1","4"
"20","1","3","1","2","2","1","3","1","2","1"
"19","1","3","1","2","2","1","3","1","1","2"
"19","1","4","5","2","1","1","4","1","1","3"
"19","2","4","5","3","1","1","3","1","1","1"
"18","1","4","4","1","1","1","5","1","1","1"
"21","2","3","5","2","1","1","3","1","1","2"
"20","2","4","2","3","2","1","5","1","1","4"
"22","2","4","2","3","2","1","5","1","1","1"
"22","2","3","3","3","1","1","4","1","1","1"
"23","2","4","5","2","2","1","4","1","2","3"
"21","1","6","3","4","3","2","5","2","1","1"
"21","1","3","1","2","3","1","5","1","1","1"
"21","1","4","1","2","1","1","3","1","1","5"
"19","1","3","1","2","1","1","1","1","2","3"
"18","1","4","1","4","3","1","5","1","1","1"
"19","1","3","1","2","1","1","5","1","1","2"
"19","2","3","1","3","2","1","4","1","1","1"
"18","2","4","1","3","2","1","5","1","1","1"
"22","2","3","2","2","2","2","3","1","1","1"
"24","1","4","1","2","1","2","4","2","1","6"
"25","1","3","1","2","1","2","4","2","1","4"
"22","1","3","1","3","1","1","4","1","1","1"
"21","1","3","5","2","2","2","3","2","1","1"
"25","2","3","1","2","1","2","5","2","1","2"
"23","1","3","1","2","1","1","4","1","1","3"
"21","1","3","1","2","3","1","4","1","1","4"
"20","1","3","1","2","1","1","4","1","1","3"
"25","1","4","1","2","3","1","5","1","1","4"
"19","1","4","1","2","3","1","4","1","1","5"
"18","2","3","1","2","1","1","4","1","1","1"
